"step","downstreamPressure_DP173_392,50-0,30-0,49=2.82539"
0.0,0.9106609
1000.0,2.277765
2000.0,2.354883
3000.0,2.3485842
4000.0,2.5762224
5000.0,2.4391284
6000.0,2.724191
7000.0,2.8231363
8000.0,2.7211318
9000.0,2.6675942
10000.0,2.9528117
11000.0,3.015463
12000.0,3.0922375
13000.0,3.1949363
14000.0,3.2811916
15000.0,3.2561545
16000.0,3.2405972
17000.0,3.2463737
18000.0,3.2145715
19000.0,3.24785
20000.0,3.1753993
21000.0,3.1792216
22000.0,3.179501
23000.0,3.171916
24000.0,3.17245
25000.0,3.1715925
26000.0,3.1850116
27000.0,3.1778944
28000.0,3.1849675
29000.0,3.087442
30000.0,3.0705414
31000.0,3.0750608
32000.0,3.0756936
33000.0,3.094205
34000.0,3.1160812
35000.0,3.1405354
36000.0,3.1164498
37000.0,3.040585
38000.0,3.042132
39000.0,3.009182
40000.0,3.031598
41000.0,3.0454817
42000.0,3.0458174
43000.0,3.0413885
44000.0,3.0426073
45000.0,3.0733135
46000.0,3.087462
47000.0,3.0727496
48000.0,3.096054
49000.0,3.1017873
50000.0,3.0902371
51000.0,3.1347318
52000.0,3.1156034
53000.0,2.8720827
54000.0,2.9223306
55000.0,2.9052634
56000.0,2.9054084
57000.0,2.8970366
58000.0,2.898421
59000.0,2.901231
60000.0,2.8776443
61000.0,2.9119039
62000.0,2.9130292
63000.0,2.9233413
64000.0,2.9289007
65000.0,2.9272513
66000.0,2.954989
67000.0,2.952491
68000.0,2.9573338
69000.0,2.9721465
70000.0,2.9990664
71000.0,2.988179
72000.0,3.0047827
73000.0,3.0132306
74000.0,3.0164258
75000.0,3.0410106
76000.0,3.0551636
77000.0,3.0581565
78000.0,3.0602722
79000.0,3.0618246
80000.0,3.0856814
81000.0,3.077322
82000.0,3.0775986
83000.0,3.085802
84000.0,3.1008112
85000.0,3.1021624
86000.0,3.0867457
87000.0,3.095011
88000.0,3.1140397
89000.0,3.1302004
90000.0,3.1167016
91000.0,3.1262412
92000.0,3.1115386
93000.0,3.140882
94000.0,3.1464787
95000.0,3.1565924
96000.0,3.1387005
97000.0,2.985257
98000.0,2.9859283
99000.0,3.0237417
100000.0,3.0187407
101000.0,3.054110288619995
102000.0,3.0651767253875732
103000.0,3.083690643310547
104000.0,3.109208345413208
105000.0,3.095940589904785
106000.0,3.1014106273651123
107000.0,3.107353448867798
108000.0,3.1344563961029053
109000.0,3.14829158782959
110000.0,3.1403262615203857
111000.0,3.1682984828948975
112000.0,3.162517547607422
113000.0,3.1636648178100586
114000.0,3.1778135299682617
115000.0,3.163745403289795
116000.0,3.164823532104492
117000.0,3.155290126800537
118000.0,3.1534104347229004
119000.0,3.170994758605957
120000.0,3.16568660736084
121000.0,3.1721136569976807
122000.0,3.1724138259887695
123000.0,3.1770787239074707
124000.0,3.1862542629241943
125000.0,3.1680331230163574
126000.0,3.1715171337127686
127000.0,3.174283504486084
128000.0,3.1767213344573975
129000.0,3.176690101623535
130000.0,3.195190191268921
131000.0,3.1717166900634766
132000.0,3.168090343475342
133000.0,3.1850361824035645
134000.0,3.193457841873169
135000.0,3.17659854888916
136000.0,3.1821231842041016
137000.0,3.1979658603668213
138000.0,3.1913323402404785
139000.0,3.2000021934509277
140000.0,3.17596173286438
141000.0,3.1871795654296875
142000.0,3.1923000812530518
143000.0,3.189659357070923
144000.0,3.170941114425659
145000.0,3.2215354442596436
146000.0,3.176119565963745
147000.0,3.177800416946411
148000.0,3.1719863414764404
149000.0,3.185373544692993
150000.0,3.2070722579956055
151000.0,3.203589916229248
152000.0,3.191946029663086
153000.0,3.2158281803131104
154000.0,3.2016329765319824
155000.0,3.201143503189087
156000.0,3.2041428089141846
157000.0,3.2032127380371094
158000.0,3.206683874130249
159000.0,3.2016677856445312
160000.0,3.1917238235473633
161000.0,3.196756362915039
162000.0,3.206317901611328
163000.0,3.1954703330993652
164000.0,3.198513984680176
165000.0,3.2932052612304688
166000.0,3.2513599395751953
167000.0,3.1991896629333496
168000.0,3.191662549972534
169000.0,3.178957939147949
170000.0,3.2723660469055176
171000.0,3.232557773590088
172000.0,3.2027082443237305
173000.0,3.1901276111602783
174000.0,3.183048725128174
175000.0,3.1819891929626465
176000.0,3.1860899925231934
177000.0,3.170781373977661
178000.0,3.1874732971191406
179000.0,3.1968274116516113
180000.0,3.1933929920196533
181000.0,3.1907753944396973
