"step","upstreamPressure_DP160_257,50-0,98-0,23=10.956"
0.0,-0.13709117
1000.0,-0.00084840984
2000.0,-0.0059742443
3000.0,-0.0075231586
4000.0,-0.00058412255
5000.0,0.013649994
6000.0,0.04143606
7000.0,0.07892443
8000.0,0.18431449
9000.0,0.14342043
10000.0,0.75685513
11000.0,0.8620881
12000.0,1.3593659
13000.0,2.0897732
14000.0,3.106484
15000.0,3.8958805
16000.0,4.647811
17000.0,5.108794
18000.0,5.5927663
19000.0,6.0054226
20000.0,6.2517433
21000.0,6.51145
22000.0,6.7132473
23000.0,6.868204
24000.0,7.071906
25000.0,7.1610193
26000.0,7.38334
27000.0,7.438196
28000.0,7.6413183
29000.0,7.610098
30000.0,7.749385
31000.0,7.8109665
32000.0,7.867132
33000.0,7.828275
34000.0,8.076399
35000.0,8.119583
36000.0,8.157433
37000.0,8.199488
38000.0,8.2490225
39000.0,8.345179
40000.0,8.222643
41000.0,8.359
42000.0,8.331016
43000.0,8.366713
44000.0,8.618751
45000.0,8.614981
46000.0,8.509241
47000.0,8.554433
48000.0,8.724205
49000.0,8.762796
50000.0,8.610492
51000.0,8.793264
52000.0,8.873825
53000.0,8.6185875
54000.0,8.7087555
55000.0,8.668993
56000.0,8.871398
57000.0,8.992579
58000.0,8.795574
59000.0,8.593302
60000.0,8.938059
61000.0,8.897129
62000.0,8.697199
63000.0,9.038975
64000.0,8.855955
65000.0,8.924692
66000.0,8.971166
67000.0,8.328415
68000.0,8.973276
69000.0,9.035524
70000.0,9.164498
71000.0,9.136442
72000.0,9.169334
73000.0,9.255185
74000.0,9.292346
75000.0,9.311987
76000.0,9.382278
77000.0,8.948279
78000.0,9.249365
79000.0,9.373791
80000.0,9.065243
81000.0,9.084627
82000.0,9.384259
83000.0,9.385455
84000.0,9.279477
85000.0,9.346144
86000.0,9.219415
87000.0,9.359346
88000.0,9.483713
89000.0,8.751801
90000.0,9.472865
91000.0,9.43816
92000.0,9.50259
93000.0,9.53316
94000.0,9.533513
95000.0,9.459175
96000.0,9.521856
97000.0,9.42535
98000.0,9.028284
99000.0,9.615612
100000.0,9.553482
101000.0,9.692781
102000.0,9.677883
103000.0,9.434912
104000.0,9.745558
105000.0,9.646429
106000.0,9.778351
107000.0,9.749407
108000.0,9.7873745
109000.0,9.812987
110000.0,9.707563
111000.0,9.805951
112000.0,9.670746
113000.0,9.91234
114000.0,9.845386
115000.0,9.917647
116000.0,9.711869
117000.0,9.944141
118000.0,9.923939
119000.0,9.970954
120000.0,9.965554
121000.0,9.896713
122000.0,9.894596
123000.0,9.903
124000.0,9.961758
125000.0,9.981781
126000.0,9.962864
127000.0,10.077566
128000.0,10.138673
129000.0,10.044379
130000.0,9.999493
131000.0,9.843721
132000.0,10.071547
133000.0,10.077313
134000.0,10.149192
135000.0,10.167159
136000.0,9.974972
137000.0,10.078421
138000.0,10.095509
139000.0,10.173662
140000.0,10.179228
141000.0,10.044655
142000.0,10.166653
143000.0,10.145894
144000.0,10.284385
145000.0,10.127546
146000.0,10.236746
147000.0,10.19875
148000.0,10.19771
149000.0,10.271973
150000.0,10.299732
151000.0,10.269212
152000.0,10.344778
153000.0,10.296099
154000.0,10.353825
155000.0,10.330709
156000.0,10.332563
157000.0,10.2917185
158000.0,9.9650955
159000.0,10.341728
160000.0,10.361073
161000.0,10.306647
162000.0,10.28677
163000.0,10.36311
164000.0,10.393003
165000.0,10.381163
166000.0,10.314374
167000.0,10.422697
168000.0,10.048866
169000.0,10.4390335
170000.0,10.400836
171000.0,10.384932
172000.0,10.363443
173000.0,10.388731
174000.0,10.468746
175000.0,10.406591
176000.0,10.3996315
177000.0,10.455851
178000.0,10.47271
179000.0,10.420933
180000.0,10.4116
181000.0,10.473152
182000.0,10.078251
183000.0,10.320823
184000.0,10.47773
185000.0,10.450681
186000.0,10.426033
187000.0,10.239424
188000.0,10.477446
189000.0,10.493501
190000.0,10.463045
191000.0,10.486689
192000.0,10.470811
193000.0,10.5002575
194000.0,10.498722
195000.0,10.477623
196000.0,10.528154
197000.0,10.500402
198000.0,10.511605
199000.0,10.486242
200000.0,10.499609
201000.0,10.518836
202000.0,10.530821
203000.0,10.561803
204000.0,10.536793
205000.0,10.5352
206000.0,10.541364
207000.0,10.558437
208000.0,10.505956
209000.0,10.537893
210000.0,10.574856
211000.0,10.584226
212000.0,10.549158
213000.0,10.572388
214000.0,10.58392
215000.0,10.585779
216000.0,10.540792
217000.0,10.53332
218000.0,10.561901
219000.0,10.584673
220000.0,10.566315
221000.0,10.482858
222000.0,10.5895
223000.0,10.577053
224000.0,10.610096
225000.0,10.379329
226000.0,10.605978
227000.0,10.601757
228000.0,10.600721
229000.0,10.583669
230000.0,10.628128
231000.0,10.600939750671387
232000.0,10.590967178344727
233000.0,10.633563995361328
234000.0,10.621091842651367
235000.0,10.63591194152832
236000.0,10.627492904663086
237000.0,10.630702018737793
238000.0,10.635405540466309
239000.0,10.627087593078613
240000.0,10.64210033416748
241000.0,10.631040573120117
242000.0,10.623223304748535
243000.0,10.626699447631836
244000.0,10.662198066711426
245000.0,10.637444496154785
246000.0,10.652497291564941
247000.0,10.670732498168945
248000.0,10.661352157592773
249000.0,10.652278900146484
250000.0,10.63007926940918
251000.0,10.619787216186523
252000.0,10.667609214782715
253000.0,10.659719467163086
254000.0,10.639963150024414
255000.0,10.670762062072754
256000.0,10.6815185546875
257000.0,10.64396858215332
258000.0,10.69424057006836
259000.0,10.681727409362793
260000.0,10.668174743652344
261000.0,10.689448356628418
262000.0,10.684123039245605
263000.0,10.67772102355957
264000.0,10.679889678955078
265000.0,10.703108787536621
266000.0,10.67249584197998
267000.0,10.69872760772705
268000.0,10.715824127197266
269000.0,10.67976188659668
270000.0,10.68828010559082
271000.0,10.67458724975586
272000.0,10.664382934570312
273000.0,10.709770202636719
274000.0,10.693328857421875
